Bench Set,Name,Original Gate,Gate Reduced,AIG Time(s),Solver Time(s),Result
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.07,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.09,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.14,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.07,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,9.22,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.99,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.86,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.96,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,3.27,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.08,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.20,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.06,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.48,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,5.00,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,8.38,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.07,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.03,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,1.62,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.53,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.03,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.06,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.12,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.01,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,2.93,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,2.63,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.03,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.12,unsat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.82,unsat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.02,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,unsat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.25,unsat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.06,unsat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.15,unsat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.08,sat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,0.0,unsat
QF_FP,newton_1_1_true-unreach-call-main,0,0,0.0,timeout,unknown
